id_producto,producto,proveedor,categoria
529,Alfajor IC Norte Unidad,IC Norte,/Panadería y Repostería/Repostería/
1870,Alimento Canino Cachorro Raza Pequeña Podium 1.4 Kg,Podium,/MASCOTAS/Perros/
270,Alimento de Carne para Adulto Cat Chow 85 Gr,Cat Chow,/MASCOTAS/Gatos/
265,Alimento para Adulto Raza Pequena sabor Carne Pedigree 100 Gr,Pedigree,/MASCOTAS/Perros/
830,Alimento para Cachorro PedIgree 1.5 Kg,Pedigree,/MASCOTAS/Perros/
266,Alimento para Cachorros Sano Crecimiento sabor Carne en Salsa Pedigree 85 Gr,Pedigree,/MASCOTAS/Perros/
835,Alimento para Gatito Carne Whiskas 85 Gr,Whiskas,/MASCOTAS/Gatos/
837,Alimento para Gatitos Soufle de Carne Whiskas 85 Gr,Whiskas,/MASCOTAS/Gatos/
271,Alimento para Gatitos de Pollo Purina Cat Chow 85 Gr,Cat Chow,/MASCOTAS/Gatos/
278,Alimento para Gatos Pescado Souffle Whiskas 85 Gr,Whiskas,/MASCOTAS/Gatos/
279,Alimento para Gatos Salsa Pollo Whiskas 85 Gr,Whiskas,/MASCOTAS/Gatos/
842,Alimento para Mascota Adulto Pescado Whiskas 3 Kg,Whiskas,/MASCOTAS/Gatos/
840,Alimento para Mascota Adulto Pollo Y Leche Whiskas 500 Gr,Whiskas,/MASCOTAS/Gatos/
836,Alimento para Mascota Adulto Sabor Salmon Whiskas 85 Gr,Whiskas,/MASCOTAS/Gatos/
832,Alimento para Mascotas Razas Pequeñas PedIgree 1.5 Kg,Pedigree,/MASCOTAS/Perros/
2,Ambientador Air Hawaiian Con Gatillo,Febreze,/LIMPIEZA Y DETERGENTES/Ambientadores e Insecticidas/Ambientadores/
9,Antigrasa con Gatillo Ola 830 ml,Ola,/LIMPIEZA Y DETERGENTES/Limpieza de Cocina/Sacagrasa y Otros Limpiadores/
1690,Apio Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1112,Arco con Hilo Dental Charcoal  Foramen 30 Unidades,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Hilo Dental y Otros/
420,Arroz Especial Grano Fino Caisy 1 Kg,Caisy,/ABARROTES Y DESPENSA/Arroz/Arroz Superior/
418,Arroz Familiar Caisy 1 Kg,Caisy,/ABARROTES Y DESPENSA/Arroz/Arroz Extra/
421,Arroz Grano de Oro Caisy 1 Kg,Caisy,/ABARROTES Y DESPENSA/Arroz/Arroz Superior/
456,Arroz Perlado Caizy 1 Kg,Caisy,/ABARROTES Y DESPENSA/Arroz/Arroz Extra/
1580,Arveja Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1581,Arveja China Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1435,Aserrin de Hueso Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Menudencias/"
678,Atun Ensalada California Real 174 Gr,Real,/ABARROTES Y DESPENSA/Conservas/Pescados en Conserva/
677,Atun Ensalada Mexicana Real 174 Gr,Real,/ABARROTES Y DESPENSA/Conservas/Pescados en Conserva/
675,Atun Lomito al Agua Real 354 Gr,Real,/ABARROTES Y DESPENSA/Conservas/Pescados en Conserva/
676,Atun Lomito en Oliva Real 160 Gr,Real,/ABARROTES Y DESPENSA/Conservas/Pescados en Conserva/
900,Atun en Agua Nutregal Van Camps 3X80 Gr,Van Camps,/ABARROTES Y DESPENSA/Conservas/Pescados en Conserva/
1964,Avena Instantanea Quaker 300 Gr,Quaker,/ABARROTES Y DESPENSA/Desayuno/Cereales/
144,Avena en Hojuelas sin Cascara La Suprema 400 Gr,La Suprema,/ABARROTES Y DESPENSA/Desayuno/Cereales/
185,Azucar Morena Guabira 1 Kg,Guabira,/ABARROTES Y DESPENSA/Azucar y Endulzantes/Azucar/
869,Barra de Chocolate Snickers Original Mars 58.7 Gr,Mars,/ABARROTES Y DESPENSA/Snacks y Golosinas/Chocolates/
880,Baton chocolate con Leche Garoto 16 Gr,Garoto,/ABARROTES Y DESPENSA/Snacks y Golosinas/Chocolates/
1980,Bebida Alcoholica Four Loko Green 473 Ml,Four Loko,"/BEBIDAS, CERVEZAS Y LICORES/Licores y Destilados/"
381,Bebida Isotonica Powerade Multifrutas 473 Ml,Powerade,"/BEBIDAS, CERVEZAS Y LICORES/Isotónicos y Energizantes/"
773,Betun Negro Nugget 65 Gr,Nugget,/LIMPIEZA Y DETERGENTES/Limpieza para Calzados/Betun Lustrador/
1437,Bife Chorizo Angosto Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1834,Bizcochos de Maiz Horneados Unicos 150 Gr,Horneados Unicos,/Panadería y Repostería/Bizcochos/
1020,Bloqueador Solar Adulto Factor 50 Solaris 90 Gr,Solaris,/CUIDADO PERSONAL/Cuidado Corporal/Protectores Solares/
1021,Bloqueador Solar Baby Kids Factor 50 Solaris 90 Gr,Solaris,/CUIDADO PERSONAL/Cuidado Corporal/Protectores Solares/
1023,Bloqueador Solar Facial Factor 30 Solaris 90 Gr,Solaris,/CUIDADO PERSONAL/Cuidado Corporal/Protectores Solares/
1022,Bloqueador Solar Sport Factor 50 Solaris 90 Gr,Solaris,/CUIDADO PERSONAL/Cuidado Corporal/Protectores Solares/
1438,Bola de Paleta Bollo Brazo Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1477,Bollo Grande Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1479,Bollo Grande Light Frigor en Bandeja x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1478,Bollo Grande para Bife Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
86,Bolsa Rayada 60 cm x 80 cm Belen 25 Unds,Belen,/LIMPIEZA Y DETERGENTES/Utensilios de Limpieza/Bolsas de Basura/
1762,Bombita IC Norte Unidad,IC Norte,/Panadería y Repostería/Repostería/
1586,Brocoli Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1763,Brownie IC Norte Unidad,IC Norte,/Panadería y Repostería/Repostería/
700,Budin Marmolado Bauducco 200 Gr,Bauducco,/ABARROTES Y DESPENSA/Desayuno/Galletas/
685,Cafe Capuccino Clasico Sachet Tres Corazones 200 Gr,Tres Corazones,/ABARROTES Y DESPENSA/Desayuno/Café/
683,Cafe Extra Forte Tres Corazones 250 Gr,Tres Corazones,/ABARROTES Y DESPENSA/Desayuno/Café/
684,Cafe Premium Tres Corazones 500 Gr,Tres Corazones,/ABARROTES Y DESPENSA/Desayuno/Café/
682,Cafe Tradicional Tres Corazones 250 Gr,Tres Corazones,/ABARROTES Y DESPENSA/Desayuno/Café/
217,Café Clasico Iguaçu 200 Gr,Iguaçu,/ABARROTES Y DESPENSA/Desayuno/Café/
218,Café Gourmet Iguaçu 100 Gr,Iguaçu,/ABARROTES Y DESPENSA/Desayuno/Café/
2187,Café Mokaccino  Nescafe Nestle 150 Gr,Nestle,/ABARROTES Y DESPENSA/Desayuno/Café/
1594,Calabacin Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1835,Calitas de Maiz Horneados Unicos 150 Gr,Horneados Unicos,/Panadería y Repostería/Bizcochos/
1561,Camote Impex,Impex,/FRUTAS Y VERDURAS/Verduras/
733,Canela Molida Maccormick 25 Gr,Mccormick,/ABARROTES Y DESPENSA/Salsas y Condimentos/Otros Condimentos/
439,Canela en Rama El Cocienero 14 Gr,El Cocinero,/ABARROTES Y DESPENSA/Salsas y Condimentos/Otros Condimentos/
1444,Carne Parrillera Azotillo Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1442,Carne para Guiso Asado en Olla Frigor Bandeja x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1443,Carne para pique Bola Lomo Frigor Bandeja x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1589,Carote Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1591,Cebolla Blanca Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1593,Cebolla Verde Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1628,Cebollin Grande Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1061,Cepillo Adapta Duro Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1070,Cepillo Baby Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1064,Cepillo Expert 3 Duro Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1063,Cepillo Expert 3 Medio Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1072,Cepillo F-6 Tynex Suave Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1038,Cepillo F29 Tynex Medio Foramen,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1037,Cepillo F29 Tynex Suave Foramen,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1044,Cepillo F30 Tynex Duro Foramen,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1049,Cepillo F92 Clinic Duro Foramen,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1048,Cepillo F92 Clinic Medio Foramen,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1046,Cepillo F92 Clinic Suave Foramen,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1097,Cepillo Flex Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1056,Cepillo Foramen V Plus Medio Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1065,Cepillo Infantil Suave Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1047,Cepillo Pharma Medio Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1058,Cepillo Pharma Sensible Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1071,Cepillo Pharma Sensor Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1045,Cepillo Pharma Suave Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1051,Cepillo Profesional Medio Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1057,Cepillo V Plus Duro Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
1055,Cepillo V-Plus Suave Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Cepillos de Dientes/
690,Ceral Fibra Total Pasas Granix 200 Gr,Granix,/ABARROTES Y DESPENSA/Desayuno/Cereales/
165,Cereal Check sabor Yogurt Vivo 350 Gr,Vivo,/ABARROTES Y DESPENSA/Desayuno/Cereales/
2192,Cereal Chocapic Nestle 350 Gr,Nestle,/ABARROTES Y DESPENSA/Desayuno/Cereales/
686,Cereal Copos de Maiz Azucarados Granix 300 Gr,Granix,/ABARROTES Y DESPENSA/Desayuno/Cereales/
161,Cereal Copos de Maiz Azucarados Granix 500 Gr,Granix,/ABARROTES Y DESPENSA/Desayuno/Cereales/
1856,Cereal Copos de Maiz Granix 350 Gr,Granix,/ABARROTES Y DESPENSA/Desayuno/Cereales/
146,Cereal Granola Especial PIM 230 Gr,PIM,/ABARROTES Y DESPENSA/Desayuno/Cereales/
104,Cereal Sabor Chocolate Chocapic Nestle 250 Gr,Nestle,/ABARROTES Y DESPENSA/Desayuno/Cereales/
1922,Champiñon en Conserva Norte 400 Gr,Norte,/ABARROTES Y DESPENSA/Conservas/Otras Conservas/
1595,Choclo Pelado Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1596,Choclo con Chala Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
872,Chocolate M & M S Minis Mars 30.6 Gr,Mars,/ABARROTES Y DESPENSA/Snacks y Golosinas/Chocolates/
1929,Chocolate con Mani Sapito Arcor 270 Gr,Arcor,/ABARROTES Y DESPENSA/Snacks y Golosinas/Chocolates/
246,Chocolate en Polvo Chocolike 800 Gr,Chocolike,/ABARROTES Y DESPENSA/Desayuno/Chocolate en Polvo/
245,Chocolate en polvo Chocolike 1000 Gr,Chocolike,/ABARROTES Y DESPENSA/Desayuno/Chocolate en Polvo/
1930,Chocolates Bonbon Especialidades Nestle 153 Gr,Nestle,/ABARROTES Y DESPENSA/Snacks y Golosinas/Chocolates/
2184,Chocolates con Almendras Vizzio Costa 182 Gr,Costa,/ABARROTES Y DESPENSA/Snacks y Golosinas/Chocolates/
1805,Chorizo Argentino Iglu 250 Gr,Iglu,/Fiambres y Quesos/Fiambres/
1803,Chorizo Churrasquero Sofia 250 Gr,Sofia,/Fiambres y Quesos/Fiambres/
1448,Chuleta Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1446,Chuleta de Paleta Frigor en Bandeja x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1445,Chuleta de Paleta Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1450,Chuleton Corte Argentino Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1490,Chunchulines en Bandeja x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1627,Cilandro Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1080,Cinta Dental Teflon Ref 421 Foramen Unidad,Foramen,/CUIDADO PERSONAL/Cuidado Oral/Hilo Dental y Otros/
426,Ciruelas Deshidratadas con Semillas Maya 380 Gr,Maya,/ABARROTES Y DESPENSA/Granos/Frutos Secos/
455,Cobertura de Chocolate Meio Amargo Cober Top 1 Kg,Cober Top,/Panadería y Repostería/Repostería/
214,Cobertura de Chocolate Semiamargo Celinda 1 Kg,Celinda,/Panadería y Repostería/Repostería/
1872,Coca Cola Original 3 Lts,Coca cola,"/BEBIDAS, CERVEZAS Y LICORES/Gaseosas/"
133,Cocoa Pura Celinda 160 Gr,Celinda,/ABARROTES Y DESPENSA/Desayuno/Chocolate en Polvo/
1831,Cola de Langostino D Mar 400 Gr,Dmar,"/CARNES, MARISCOS Y PESCADO/Pescado/"
1562,Cole Impex,Impex,/FRUTAS Y VERDURAS/Verduras/
1597,Coliflor Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1489,Colita de Cuadril Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
784,Colonia Bbyl Verde Babyland 210 Ml,Babyland,/BEBÉS/Cuidado y Aseo del Bebé/Jabones y Colonias/
267,Comida Mascota Adulto Carne en Salsa Pedigree 100 Gr,Pedigree,/MASCOTAS/Perros/
469,Comida Para Cachorros Raza Pequeña 2800 Gr,Podium,/MASCOTAS/Perros/
268,Comida para Adulto Raza Pequena sabor Pollo Pedigree 100 Gr,Pedigree,/MASCOTAS/Perros/
269,Comida para Mascota Adulto Pollo en Salsa Pedigree 100 Gr,Pedigree,/MASCOTAS/Perros/
892,Confites Masticables Skittles Original Wrigley 61.5 Gr,Wrigley,/ABARROTES Y DESPENSA/Snacks y Golosinas/golosinas/
893,Confites Masticables Skittles Wild Berry Wrigley 58.7 Gr,Wrigley,/ABARROTES Y DESPENSA/Snacks y Golosinas/golosinas/
894,Confites Masticables Starburst Original Wrigley 58.7 Gr,Wrigley,/ABARROTES Y DESPENSA/Snacks y Golosinas/golosinas/
1764,Conito Relleno IC Norte Unidad,IC Norte,/Panadería y Repostería/Repostería/
1491,Corazon en Bandeja x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Menudencias/"
1451,Corte Espanol Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1812,Costilla de Cerdo Ahumada Sofia 250 Gr,Sofia,/Fiambres y Quesos/Fiambres/
300,Cotonetes Johnsons 300 Unds,Johnsons,/CUIDADO PERSONAL/Jabones y Perfumería/Hisopos/
301,Cotonetes Johnsons 75 Unds,Johnsons,/CUIDADO PERSONAL/Jabones y Perfumería/Hisopos/
746,Creama Brillametal Brasso Negro 70 Gr,Brasso,/LIMPIEZA Y DETERGENTES/Limpieza de Cocina/Sacagrasa y Otros Limpiadores/
1145,Crema Antiedad Rejuveness Dia Ponds 100 Gr,Ponds,/CUIDADO PERSONAL/Cuidado Corporal/Cremas Faciales/
1154,Crema Corporal Aceite de Karite Dove 400 Ml,Dove,/CUIDADO PERSONAL/Cuidado Corporal/Cremas Corporales/
802,Crema Depiladora para Piel Sensible Veet 100 Ml,Veet,/CUIDADO PERSONAL/Cuidado Corporal/Cremas Corporales/
293,Crema Tratamiento Capilar Chocolate 2 en 1 Belmed 1000 Gr,Belmed,/CUIDADO PERSONAL/Cuidado Corporal/Cremas Corporales/
509,Crema de Leche Delizia  500 Ml,Pil,/LÁCTEOS/Leches/Crema de Leche/
196,Crema de Leche Nestle 300 Gr.,Nestle,/LÁCTEOS/Leches/Crema de Leche/
510,Crema de Leche Pil 1 Lt,Pil,/LÁCTEOS/Leches/Crema de Leche/
2005,Crema para Calzado Betun Negro Nugget 36 Gr,Nugget,/LIMPIEZA Y DETERGENTES/Limpieza para Calzados/Betun Lustrador/
1148,Crema para Peinar Liso Perfecto Sedal 300 Ml,Sedal,/CUIDADO PERSONAL/Cuidado del Cabello/Cremas para Peinar/
1748,Croissant con Queso IC Norte Unidad,IC Norte,/Panadería y Repostería/Panes/
1452,Cuadril Cadera Corazon Cuadril Colgadura Frigor x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Cortes por Kg./"
1838,Cunape Crocsitos 200 Gr,Crocsitos,/Panadería y Repostería/Bizcochos/
1839,Cuñape Abizcochado San Javier 200 Gr,San Javier,/Panadería y Repostería/Bizcochos/
1832,Cuñape Horneados Unicos120 Gr,Horneados Unicos,/Panadería y Repostería/Bizcochos/
1795,Cuñapecito IC Norte Kg,IC Norte,/Panadería y Repostería/Masas Típicas/
68,Desinfectante de Ambiente Original Lysoform 360 Cm3,Lysoform,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
1163,Desodorante Crema Humectante Dermoaclarant Dove 150 Ml,Dove,/CUIDADO PERSONAL/Jabones y Perfumería/Desodorantes y Antitranspirantes/
1125,Desodorante Roll on Antibacterial Rexona men 50 Ml,Rexona,/CUIDADO PERSONAL/Jabones y Perfumería/Desodorantes y Antitranspirantes/
1134,Desodorante Roll on Extra Fresh Dove Men Care 50 Ml,Dove,/CUIDADO PERSONAL/Jabones y Perfumería/Desodorantes y Antitranspirantes/
1135,Desodorante Roll on Invisible Dry Dove Men Care 50 Ml,Dove,/CUIDADO PERSONAL/Jabones y Perfumería/Desodorantes y Antitranspirantes/
1131,Desodorante Roll on Original Dove 50 Ml,Dove,/CUIDADO PERSONAL/Jabones y Perfumería/Desodorantes y Antitranspirantes/
1123,Desodorante en Barra Xtra Cool Rexona 50 Gr,Rexona,/CUIDADO PERSONAL/Jabones y Perfumería/Desodorantes y Antitranspirantes/
649,Detergente Bebe Doypack Woolite 900Ml,Woolite,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
63,"Detergente Lavado Completo Maquina Futuro Ola 1,7 Lt",Ola,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
641,Detergente Liquido Flores Sapolio 1000 Ml,Sapolio,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
921,Detergente Matic Bolivar 2 Kg,Bolivar,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
922,Detergente Matic Bolivar 700 Gr,Bolivar,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
924,Detergente Suavizante Bolivar 2.00 Kg,Bolivar,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
923,Detergente Suavizante Bolivar 700 Gr,Bolivar,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
1198,Detergente en polvo Matic Omo 2 Kg,Omo,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
1196,Detergente en polvo Piel Sensible Omo 2 Kg,Omo,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
1197,Detergente en polvo Progress mas Blancura Omo 2 Kg,Omo,/LIMPIEZA Y DETERGENTES/Limpieza de Ropa/Detergentes/
1750,Donut`s Grande IC Norte Unidad,IC Norte,/Panadería y Repostería/Repostería/
249,Dulce de Frutilla La Rinconada 400 Gr,La Rinconada,/ABARROTES Y DESPENSA/Desayuno/Mermeladas y Mieles/
1869,Dulce de Leche Pil 250 GR,Pil,/ABARROTES Y DESPENSA/Desayuno/Dulce de Leche y Manjar/
1988,Dulce de Leche Repostero La Serenisima 400 Gr,La Serenisima,/ABARROTES Y DESPENSA/Desayuno/Dulce de Leche y Manjar/
1989,Dulce de Leche Sancor 1 Kg,Sancor,/ABARROTES Y DESPENSA/Desayuno/Dulce de Leche y Manjar/
691,Dulce de Leche Tradicional Sancor 250 Gr,Sancor,/ABARROTES Y DESPENSA/Desayuno/Dulce de Leche y Manjar/
1871,Duraznos Mitades en Almibar La Despensa Sofia 820 GR,Sofia,/ABARROTES Y DESPENSA/Azucar y Endulzantes/Azucar/
231,Duraznos Mitades en Almibar Norte 820 Gr,Norte,/ABARROTES Y DESPENSA/Conservas/Frutas en Conserva/
259,Duraznos al Jugo Gustoso 820 Gr,Gustoso,/ABARROTES Y DESPENSA/Conservas/Frutas en Conserva/
1753,Ecler IC Norte Unidad,IC Norte,/Panadería y Repostería/Repostería/
1406,Econo Pack Toalla Normal Buenas Noches Nosotras 24 Unds,Nosotras,/CUIDADO PERSONAL/Cuidado Femenino/Toalliltas Higiénicas y Tampones/
221,Edulcorante de Mesa Liquido Chuker 600 Cm3,Chuker,/ABARROTES Y DESPENSA/Azucar y Endulzantes/Endulzantes/
1754,Empanada Arani IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
1749,Empanada Lampagna IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
1760,Empanada Pukacapa Pequeña IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
1756,Empanada Pukacapa con Salchicha Grande IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
1757,Empanada Pukacapa con Salchicha Pequeña IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
528,Empanada con Queso IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
1755,Empanada con Queso Pequeñas IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
1758,Empanada de Hoja IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
527,Empanada de Queso Integral IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
1759,Empandada Pukacapa Grande IC Norte Unidad,IC Norte,/Panadería y Repostería/Empanadas/
782,Emulsionado Bbyl Neutro Babyland 410 Ml,Babyland,/BEBÉS/Cuidado y Aseo del Bebé/Jabones y Colonias/
663,Endulzante Sin Calorias Equal 200 Sobres,Equal,/ABARROTES Y DESPENSA/Azucar y Endulzantes/Endulzantes/
671,Endulzante Sucralosa Sucaryl 180 Ml,Sucaryl,/ABARROTES Y DESPENSA/Azucar y Endulzantes/Endulzantes/
1015,Endulzante Sucranova 150 Tabletas,Sucranova,/ABARROTES Y DESPENSA/Azucar y Endulzantes/Endulzantes/
