id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio
5067,10.9,10.9,0,9.9,0.101,9.9,0.101,10.2,0.0686,11,-0.00909,11,-0.00909,9.5,0.147,8,0.363
5068,27,27,0,27,0,27,0,27,0,27,0,20.5,0.317,20.5,0.317,29,-0.069
5069,18,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
5070,40,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0
5071,19.5,19.5,0,19.5,0,19.5,0,19.5,0,20,-0.025,20,-0.025,21,-0.0714,16,0.219
5072,10.5,10.5,0,10.5,0,10.5,0,10.5,0,11,-0.0455,9.5,0.105,11,-0.0455,11,-0.0455
5073,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0
5075,34.5,34.5,0,34.5,0,37,-0.0676,37,-0.0676,52.5,-0.343,52.5,-0.343,53,-0.349,43,-0.198
5077,13,13,0,13,0,13,0,10.5,0.238,10.5,0.238,10.5,0.238,10.5,0.238,8,0.625
5081,22,22,0,22,0,22,0,22,0,22,0,15,0.467,15,0.467,9.5,1.32
5083,11,11,0,11,0,11,0,11,0,11,0,12.5,-0.12,13,-0.154,13,-0.154
5085,26.5,26.5,0,26.5,0,26.5,0,26.5,0,21.5,0.233,17.5,0.514,17.5,0.514,19,0.395
5086,35,35,0,35,0,35,0,35,0,35,0,35,0,35,0,,
5087,10,10,0,10,0,10,0,10,0,10.4,-0.0385,9.9,0.0101,9.6,0.0417,10,0
5088,8.7,8.7,0,8.7,0,8.7,0,8.7,0,7.5,0.16,7.5,0.16,7.5,0.16,7.5,0.16
5089,12,12,0,9.9,0.212,9.9,0.212,10.6,0.132,9.5,0.263,10,0.2,10.6,0.132,9,0.333
5093,6.5,6.5,0,6.5,0,6.5,0,6.5,0,7,-0.0714,6,0.0833,5.5,0.182,4.5,0.444
5094,16,16,0,16,0,16,0,18,-0.111,18,-0.111,13.5,0.185,8.5,0.882,7.5,1.13
5095,14,14,0,14,0,14,0,14,0,14,0,13,0.0769,11,0.273,13,0.0769
5097,19,19,0,19,0,19,0,,,,,,,,,,
5098,8.5,8.5,0,8.5,0,8.5,0,8.5,0,7.5,0.133,7.5,0.133,7.5,0.133,7.5,0.133
5099,25.5,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0
5101,9,9,0,9,0,9,0,9,0,11,-0.182,9.1,-0.011,7.6,0.184,7,0.286
5102,15,15,0,15,0,14,0.0714,14,0.0714,14,0.0714,14,0.0714,11,0.364,11,0.364
5103,8.5,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,5.5,0.545,7,0.214,4.5,0.889
5104,9.9,9.9,0,9.9,0,14.1,-0.298,16.5,-0.4,16.5,-0.4,16.5,-0.4,14,-0.293,11.5,-0.139
5105,6,6,0,6,0,6,0,12.9,-0.535,15,-0.6,15,-0.6,11.3,-0.469,7.1,-0.155
5106,15.5,15.5,0,17.5,-0.114,12.5,0.24,13,0.192,14,0.107,19,-0.184,17,-0.0882,9.5,0.632
5107,9.9,9.9,0,9.9,0,12,-0.175,12,-0.175,9.5,0.0421,9.5,0.0421,6,0.65,6,0.65
5108,7,7,0,7,0,7,0,7,0,5.9,0.186,6,0.167,5.5,0.273,5.5,0.273
5111,11,11,0,12.1,-0.0909,12.1,-0.0909,12.1,-0.0909,6,0.833,6,0.833,5,1.2,5,1.2
5113,13.5,13.5,0,13.5,0,13.5,0,13.5,0,12.5,0.08,12,0.125,9.6,0.406,13,0.0385
5114,,,,,,,,,,,,,,,,,
5115,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0
5118,10,10,0,10,0,10,0,10,0,8.5,0.176,8.5,0.176,8.5,0.176,8.5,0.176
5119,48,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0
5121,9,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
5123,36,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0
5126,5.5,5.5,0,5.5,0,5.5,0,5.5,0,4.7,0.17,4.7,0.17,4.7,0.17,,
5127,17.2,17.2,0,17.2,0,17.2,0,17.2,0,18,-0.0444,19.9,-0.136,20,-0.14,24.5,-0.298
5129,24.6,24.6,0,24.6,0,24.6,0,26,-0.0538,19,0.295,19,0.295,19,0.295,19,0.295
5134,27.5,27.5,0,27.5,0,24.1,0.141,24.1,0.141,22,0.25,22,0.25,22,0.25,22,0.25
5135,50,50,0,50,0,52,-0.0385,58.5,-0.145,,,52,-0.0385,54,-0.0741,45,0.111
5136,18,,,,,18,0,18,0,18,0,,,,,,
5139,20,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
5140,15.1,15.1,0,15.1,0,15.1,0,15.1,0,15.1,0,15.1,0,15.1,0,15.1,0
5154,,,,,,,,,,,,,,,,,
5156,24,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0
5157,25,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0
5158,17.9,17.9,0,17.9,0,17.9,0,15,0.193,15,0.193,15,0.193,15,0.193,15,0.193
